"ID","EventType","Framespan","DetectionScore","DetectionDecision"
"1","PersonRuns","7501:77277","0.820","true"
"2","PersonRuns","95151:115566","0.020","false"
"1","CellToEar","3911:16057","0.520","true"
"2","CellToEar","4665:14130","0.240","false"
"3","CellToEar","5644:13564","0.230","false"
"4","CellToEar","18862:32697","0.200","false"
"5","CellToEar","20308:40166","0.770","true"
"6","CellToEar","40963:59314","0.490","true"
"7","CellToEar","52959:56332","0.450","true"
"8","CellToEar","53690:61801","0.560","true"
"9","CellToEar","64301:65113","0.460","true"
"10","CellToEar","66404:75790","0.080","false"
"11","CellToEar","71898:91889","0.890","true"
"12","CellToEar","81561:99544","0.730","true"
"13","CellToEar","82194:90014","0.090","false"
"14","CellToEar","84881:99435","0.430","true"
"15","CellToEar","113543:129669","0.760","true"
"16","CellToEar","119104:130338","0.170","false"
"17","CellToEar","141091:145657","0.830","true"
"18","CellToEar","169652:176310","0.490","true"
"1","ObjectPut","3808:6056","0.060","false"
"2","ObjectPut","5031:6452","0.630","true"
"3","ObjectPut","8707:8944","0.420","false"
"4","ObjectPut","10058:15285","0.900","true"
"5","ObjectPut","10435:15968","0.650","true"
"6","ObjectPut","12676:17905","0.380","false"
"7","ObjectPut","13052:19256","0.580","false"
"8","ObjectPut","15910:16109","0.250","false"
"9","ObjectPut","19109:19542","0.520","false"
"10","ObjectPut","26788:32394","0.720","true"
"11","ObjectPut","35208:36091","0.370","false"
"12","ObjectPut","37282:41920","0.450","false"
"13","ObjectPut","39263:40688","0.810","true"
"14","ObjectPut","39602:44084","0.640","true"
"15","ObjectPut","40464:45816","0.650","true"
"16","ObjectPut","42050:42629","0.920","true"
"17","ObjectPut","42888:45634","0.430","false"
"18","ObjectPut","55561:56671","0.330","false"
"19","ObjectPut","56628:61491","0.310","false"
"20","ObjectPut","66523:72607","0.880","true"
"21","ObjectPut","70629:70966","0.140","false"
"22","ObjectPut","71599:77083","0.420","false"
"23","ObjectPut","74692:80656","0.970","true"
"24","ObjectPut","76974:77965","0.270","false"
"25","ObjectPut","77370:80517","0.550","false"
"26","ObjectPut","81297:85282","0.060","false"
"27","ObjectPut","81328:82844","0.250","false"
"28","ObjectPut","82963:88722","0.470","false"
"29","ObjectPut","85041:91086","0.850","true"
"30","ObjectPut","85667:89549","0.830","true"
"31","ObjectPut","94290:96356","0.220","false"
"32","ObjectPut","103078:106837","0.180","false"
"33","ObjectPut","110039:111846","0.990","true"
"34","ObjectPut","113638:115712","0.750","true"
"35","ObjectPut","114421:114577","0.150","false"
"36","ObjectPut","118307:119782","0.150","false"
"37","ObjectPut","118340:123949","0.630","true"
"38","ObjectPut","118557:122586","0.940","true"
"39","ObjectPut","121031:126706","0.660","true"
"40","ObjectPut","121548:123380","0.190","false"
"41","ObjectPut","126101:126469","0.720","true"
"42","ObjectPut","126780:126854","0.200","false"
"43","ObjectPut","129704:131681","0.100","false"
"44","ObjectPut","132773:136249","0.580","false"
"45","ObjectPut","133773:135524","0.080","false"
"46","ObjectPut","136498:136802","0.920","true"
"47","ObjectPut","140328:143685","0.660","true"
"48","ObjectPut","141233:146050","0.540","false"
"49","ObjectPut","151194:152670","0.660","true"
"50","ObjectPut","151986:156691","0.440","false"
"51","ObjectPut","154527:158596","0.430","false"
"52","ObjectPut","155231:155868","0.450","false"
"53","ObjectPut","159179:162045","0.610","true"
"54","ObjectPut","164485:168930","0.700","true"
"55","ObjectPut","169852:175371","0.710","true"
"56","ObjectPut","172513:177996","0.420","false"
"57","ObjectPut","173279:173662","0.080","false"
"58","ObjectPut","176644:180000","0.800","true"
"1","PeopleMeet","6129:7813","0.250","false"
"2","PeopleMeet","14872:21768","0.130","false"
"3","PeopleMeet","18508:27846","0.930","true"
"4","PeopleMeet","39389:50270","0.030","false"
"5","PeopleMeet","39930:48316","0.570","false"
"6","PeopleMeet","41380:42413","0.220","false"
"7","PeopleMeet","53801:61321","0.320","false"
"8","PeopleMeet","54691:55716","0.620","false"
"9","PeopleMeet","56252:61553","0.100","false"
"10","PeopleMeet","69837:78899","0.190","false"
"11","PeopleMeet","71912:72459","0.480","false"
"12","PeopleMeet","72946:79351","0.190","false"
"13","PeopleMeet","73473:84504","0.010","false"
"14","PeopleMeet","78149:78526","0.230","false"
"15","PeopleMeet","84181:87407","0.130","false"
"16","PeopleMeet","89904:92538","0.560","false"
"17","PeopleMeet","91136:91160","0.810","true"
"18","PeopleMeet","92665:101031","0.560","false"
"19","PeopleMeet","96836:101393","0.760","true"
"20","PeopleMeet","101226:101331","0.920","true"
"21","PeopleMeet","112941:122721","0.930","true"
"22","PeopleMeet","135133:137909","0.360","false"
"23","PeopleMeet","136299:138756","0.400","false"
"24","PeopleMeet","136466:141402","0.950","true"
"25","PeopleMeet","153076:159799","0.540","false"
"26","PeopleMeet","153631:163509","0.690","true"
"27","PeopleMeet","159456:166706","0.520","false"
"28","PeopleMeet","160877:162264","0.960","true"
"29","PeopleMeet","162956:171235","0.600","false"
"30","PeopleMeet","167586:172009","0.190","false"
"31","PeopleMeet","168177:172533","0.220","false"
"32","PeopleMeet","175493:176171","0.840","true"
"1","PeopleSplitUp","689:3147","0.260","false"
"2","PeopleSplitUp","2657:4743","0.920","true"
"3","PeopleSplitUp","9746:11634","0.950","true"
"4","PeopleSplitUp","19237:20830","0.150","false"
"5","PeopleSplitUp","35232:38007","0.440","false"
"6","PeopleSplitUp","42090:46251","0.470","false"
"7","PeopleSplitUp","60390:65025","0.310","false"
"8","PeopleSplitUp","82007:88688","0.170","false"
"9","PeopleSplitUp","83383:99182","0.560","false"
"10","PeopleSplitUp","89529:91671","0.230","false"
"11","PeopleSplitUp","95588:104940","0.140","false"
"12","PeopleSplitUp","103627:115900","0.470","false"
"13","PeopleSplitUp","108431:112633","0.860","true"
"14","PeopleSplitUp","124333:127714","0.390","false"
"15","PeopleSplitUp","141751:155501","0.660","false"
"16","PeopleSplitUp","146362:150874","0.140","false"
"17","PeopleSplitUp","148232:159306","0.020","false"
"18","PeopleSplitUp","149983:154946","0.780","false"
"19","PeopleSplitUp","150719:154879","0.500","false"
"20","PeopleSplitUp","163868:174132","0.300","false"
"21","PeopleSplitUp","170515:180000","0.760","false"
"22","PeopleSplitUp","178254:179991","0.240","false"
"1","Embrace","3396:10117","0.860","true"
"2","Embrace","4433:9783","0.700","true"
"3","Embrace","13267:14395","0.730","true"
"4","Embrace","18352:24686","0.800","true"
"5","Embrace","25934:31539","0.480","false"
"6","Embrace","32617:33517","0.640","true"
"7","Embrace","38800:40526","0.730","true"
"8","Embrace","39744:42211","0.860","true"
"9","Embrace","40761:45699","0.170","false"
"10","Embrace","53374:60772","0.040","false"
"11","Embrace","55125:60689","0.200","false"
"12","Embrace","61266:63017","0.880","true"
"13","Embrace","61971:69919","0.010","false"
"14","Embrace","63103:66154","0.280","false"
"15","Embrace","63604:68366","0.550","true"
"16","Embrace","63699:64074","0.310","false"
"17","Embrace","76616:84827","0.580","true"
"18","Embrace","77519:85700","0.080","false"
"19","Embrace","79256:86685","0.010","false"
"20","Embrace","82052:84251","0.000","false"
"21","Embrace","84343:84584","0.800","true"
"22","Embrace","84742:87478","0.540","true"
"23","Embrace","86747:92766","0.840","true"
"24","Embrace","89262:96954","0.430","false"
"25","Embrace","89368:92809","0.020","false"
"26","Embrace","92621:100935","0.400","false"
"27","Embrace","92712:100580","0.690","true"
"28","Embrace","94490:98618","0.680","true"
"29","Embrace","94537:99319","0.510","true"
"30","Embrace","96323:99001","0.400","false"
"31","Embrace","99660:104260","0.220","false"
"32","Embrace","103204:109934","0.690","true"
"33","Embrace","113887:117588","0.860","true"
"34","Embrace","116204:117111","0.370","false"
"35","Embrace","118363:122297","0.310","false"
"36","Embrace","143896:147298","0.990","true"
"37","Embrace","145777:153595","0.570","true"
"38","Embrace","148002:154141","0.870","true"
"39","Embrace","154700:157411","0.350","false"
"40","Embrace","159663:166934","0.770","true"
"41","Embrace","161091:163171","0.420","false"
"42","Embrace","168072:175014","0.740","true"
"43","Embrace","168623:174994","0.710","true"
"1","Pointing","3645:3729","0.560","false"
"2","Pointing","4555:8089","0.390","false"
"3","Pointing","5513:8139","0.730","false"
"4","Pointing","6908:10042","0.840","false"
"5","Pointing","7238:11448","0.140","false"
"6","Pointing","10151:10410","0.890","false"
"7","Pointing","17513:21427","0.150","false"
"8","Pointing","18055:18794","0.870","false"
"9","Pointing","20357:23037","0.890","false"
"10","Pointing","24964:25578","0.800","false"
"11","Pointing","25949:26032","0.200","false"
"12","Pointing","26293:27963","0.740","false"
"13","Pointing","29045:30332","0.920","true"
"14","Pointing","35781:39195","0.220","false"
"15","Pointing","37061:39788","0.800","false"
"16","Pointing","40164:42802","0.970","true"
"17","Pointing","42131:42934","0.010","false"
"18","Pointing","43493:46309","0.500","false"
"19","Pointing","43585:45944","0.410","false"
"20","Pointing","45757:49667","0.180","false"
"21","Pointing","48097:51649","0.330","false"
"22","Pointing","51012:52105","0.150","false"
"23","Pointing","53561:53943","0.580","false"
"24","Pointing","59319:62151","0.170","false"
"25","Pointing","59540:63781","0.540","false"
"26","Pointing","59676:59886","0.230","false"
"27","Pointing","63164:66844","0.830","false"
"28","Pointing","64241:68098","0.830","false"
"29","Pointing","65445:69116","0.720","false"
"30","Pointing","75834:76322","0.630","false"
"31","Pointing","78971:79007","0.440","false"
"32","Pointing","80614:82290","0.400","false"
"33","Pointing","86070:88563","0.650","false"
"34","Pointing","89042:90715","0.520","false"
"35","Pointing","97182:97527","0.530","false"
"36","Pointing","98086:102386","0.620","false"
"37","Pointing","99856:102601","0.910","true"
"38","Pointing","101420:101711","0.420","false"
"39","Pointing","104395:108723","0.590","false"
"40","Pointing","105259:108487","0.280","false"
"41","Pointing","106431:109167","0.180","false"
"42","Pointing","108084:111091","0.570","false"
"43","Pointing","108276:109282","0.400","false"
"44","Pointing","108957:110565","0.970","true"
"45","Pointing","109333:111977","0.850","false"
"46","Pointing","113390:116364","0.680","false"
"47","Pointing","116471:119789","0.650","false"
"48","Pointing","122678:124660","0.930","true"
"49","Pointing","125705:126365","0.750","false"
"50","Pointing","128699:131586","0.650","false"
"51","Pointing","129076:131461","0.460","false"
"52","Pointing","129882:130556","0.840","false"
"53","Pointing","130613:130831","0.330","false"
"54","Pointing","131449:134169","0.630","false"
"55","Pointing","132035:133402","0.050","false"
"56","Pointing","134783:137320","0.590","false"
"57","Pointing","135602:138546","0.270","false"
"58","Pointing","136078:136715","0.690","false"
"59","Pointing","138855:140620","0.230","false"
"60","Pointing","139668:140448","0.280","false"
"61","Pointing","144545:147475","0.640","false"
"62","Pointing","145606:146291","0.260","false"
"63","Pointing","146345:149310","0.780","false"
"64","Pointing","147806:148319","0.430","false"
"65","Pointing","149179:153508","0.360","false"
"66","Pointing","150852:152889","0.840","false"
"67","Pointing","151978:153500","0.650","false"
"68","Pointing","152908:155615","0.670","false"
"69","Pointing","153238:157344","0.470","false"
"70","Pointing","153342:153898","0.750","false"
"71","Pointing","153527:153646","0.130","false"
"72","Pointing","156666:158246","0.350","false"
"73","Pointing","156748:157918","0.480","false"
"74","Pointing","159321:163321","0.150","false"
"75","Pointing","162554:163661","0.060","false"
"76","Pointing","162618:164328","0.110","false"
"77","Pointing","163823:164059","0.280","false"
"78","Pointing","168717:172268","0.260","false"
"79","Pointing","169751:170346","0.880","false"
"80","Pointing","175899:176318","0.840","false"
"81","Pointing","176977:179979","0.830","false"
"82","Pointing","178271:180000","0.610","false"
"83","Pointing","178949:180000","0.240","false"
