"ID","EventType","Framespan","DetectionScore","DetectionDecision"
"1","Embrace","55:1545","0.364889","0"
"2","Embrace","565:1545","0.280826","0"
"3","Embrace","1125:1545","0.222750","0"
"4","Embrace","1495:1545","0.210000","0"
"5","Embrace","1735:2345","0.309733","0"
"6","Embrace","1905:2345","0.357882","0"
"7","Embrace","1975:2345","0.374333","0"
"8","Embrace","2035:2345","0.396857","0"
"9","Embrace","3225:3585","0.341125","0"
"10","Embrace","3335:3585","0.359833","0"
"11","Embrace","3395:3585","0.333455","0"
"12","Embrace","3955:5295","0.342840","0"
"13","Embrace","4015:5295","0.344000","0"
"14","Embrace","4165:5295","0.335576","0"
"15","Embrace","4265:5295","0.349506","0"
"16","Embrace","4435:5295","0.389476","0"
"17","Embrace","4655:5295","0.384441","0"
"18","Embrace","4705:5295","0.406219","0"
"19","Embrace","5015:5295","0.253636","0"
"20","Embrace","5135:5295","0.271857","0"
"21","Embrace","5415:5655","0.250400","0"
"22","Embrace","5545:5655","0.333750","0"
"23","Embrace","5795:5975","0.155400","0"
"24","Embrace","6305:6875","0.291429","0"
"25","Embrace","7085:7395","0.412000","0"
"26","Embrace","7195:7395","0.507250","1"
"27","Embrace","7975:9655","0.299008","0"
"28","Embrace","8865:9655","0.278656","0"
"29","Embrace","9085:9655","0.254308","0"
"30","Embrace","9125:9655","0.346290","0"
"31","Embrace","9325:9655","0.320200","0"
"32","Embrace","9415:9655","0.321538","0"
"33","Embrace","10705:10925","0.416625","0"
"34","Embrace","11515:12105","0.206840","0"
"35","Embrace","11935:12105","0.135143","0"
"36","Embrace","14565:14905","0.344375","0"
"37","Embrace","14815:14905","0.282000","0"
"38","Embrace","15615:15795","0.168800","0"
"39","Embrace","16205:16855","0.295297","0"
"40","Embrace","16655:16855","0.186375","0"
"41","Embrace","16695:16855","0.266444","0"
"42","Embrace","16795:16855","0.118000","0"
"43","Embrace","17575:17665","0.432250","0"
"44","Embrace","17625:17665","0.388500","0"
"45","Embrace","18875:19265","0.292222","0"
"46","Embrace","18955:19265","0.289937","0"
"47","Embrace","20375:21095","0.380840","0"
"48","Embrace","20445:21095","0.338792","0"
"49","Embrace","20735:21095","0.360333","0"
"50","Embrace","22375:22845","0.438241","0"
"51","Embrace","22415:22845","0.340815","0"
"52","Embrace","25355:25925","0.383459","0"
"53","Embrace","25535:25925","0.435417","0"
"54","Embrace","25845:25925","0.137000","0"
"55","Embrace","26055:26695","0.205000","0"
"56","Embrace","26175:26695","0.182875","0"
"57","Embrace","26885:27365","0.234143","0"
"58","Embrace","27165:27365","0.345444","0"
"59","Embrace","27225:29915","0.346750","0"
"60","Embrace","27425:29915","0.356302","0"
"61","Embrace","27605:29915","0.361007","0"
"62","Embrace","27735:29915","0.360979","0"
"63","Embrace","27845:29915","0.368353","0"
"64","Embrace","28495:29915","0.398280","0"
"65","Embrace","28575:29915","0.404924","0"
"66","Embrace","28755:29915","0.426190","0"
"67","Embrace","29285:29915","0.138727","0"
"68","Embrace","29465:29915","0.173185","0"
"69","Embrace","29555:29915","0.142435","0"
"70","Embrace","29595:29915","0.156105","0"
"71","Embrace","29635:29915","0.176412","0"
"72","Embrace","33195:33495","0.355300","0"
"73","Embrace","33255:33495","0.316222","0"
"74","Embrace","33305:33495","0.309000","0"
"75","Embrace","34795:34895","0.448667","0"
"76","Embrace","35035:35125","0.259000","0"
"77","Embrace","43805:44215","0.369650","0"
"78","Embrace","44755:45105","0.148143","0"
"79","Embrace","45575:46025","0.382343","0"
"80","Embrace","45855:46035","0.385714","0"
"81","Embrace","45935:46035","0.391571","0"
"82","Embrace","47445:47705","0.347727","0"
"83","Embrace","47515:47705","0.332929","0"
"84","Embrace","47975:48135","0.185600","0"
"85","Embrace","48045:48135","0.267333","0"
"86","Embrace","48545:48805","0.152714","0"
"87","Embrace","51585:51725","0.406714","0"
"88","Embrace","51885:52195","0.342556","0"
"89","Embrace","52915:58815","0.268751","0"
"90","Embrace","53075:58815","0.270794","0"
"91","Embrace","53445:58815","0.267322","0"
"92","Embrace","53535:58815","0.267117","0"
"93","Embrace","53615:58815","0.278461","0"
"94","Embrace","53705:58815","0.277273","0"
"95","Embrace","53755:58815","0.278188","0"
"96","Embrace","53815:58815","0.276571","0"
"97","Embrace","53945:58815","0.279477","0"
"98","Embrace","54035:58815","0.278361","0"
"99","Embrace","54085:58815","0.278737","0"
"100","Embrace","54125:58815","0.275311","0"
"101","Embrace","54595:58815","0.283791","0"
"102","Embrace","54725:58815","0.284181","0"
"103","Embrace","54765:58815","0.284769","0"
"104","Embrace","54805:58815","0.295273","0"
"105","Embrace","54925:58815","0.297144","0"
"106","Embrace","54975:58815","0.295385","0"
"107","Embrace","55045:58815","0.297559","0"
"108","Embrace","55115:58815","0.285906","0"
"109","Embrace","55225:58815","0.287375","0"
"110","Embrace","55385:58815","0.308345","0"
"111","Embrace","55615:58815","0.306005","0"
"112","Embrace","55715:58815","0.299335","0"
"113","Embrace","55845:58815","0.303763","0"
"114","Embrace","55945:58815","0.308481","0"
"115","Embrace","56015:58815","0.310034","0"
"116","Embrace","56055:58815","0.311812","0"
"117","Embrace","56195:58815","0.310568","0"
"118","Embrace","56345:58815","0.321942","0"
"119","Embrace","56495:58815","0.317701","0"
"120","Embrace","56695:58815","0.346431","0"
"121","Embrace","56735:58815","0.346255","0"
"122","Embrace","56885:58815","0.324964","0"
"123","Embrace","57205:58815","0.309776","0"
"124","Embrace","57325:58815","0.310110","0"
"125","Embrace","57425:58815","0.306163","0"
"126","Embrace","57535:58815","0.309120","0"
"127","Embrace","57615:58815","0.297075","0"
"128","Embrace","57675:58815","0.291195","0"
"129","Embrace","58005:58815","0.309839","0"
"130","Embrace","58105:58815","0.247333","0"
"131","Embrace","58155:58815","0.271061","0"
"132","Embrace","58365:58815","0.275379","0"
"133","Embrace","58605:62765","0.413888","0"
"134","Embrace","58675:62765","0.406931","0"
"135","Embrace","58775:62765","0.410851","0"
"136","Embrace","58865:62765","0.418269","0"
"137","Embrace","58985:62765","0.421145","0"
"138","Embrace","59265:62765","0.407840","0"
"139","Embrace","59335:62765","0.407514","0"
"140","Embrace","59555:62765","0.372052","0"
"141","Embrace","59745:62765","0.369047","0"
"142","Embrace","59915:62765","0.360614","0"
"143","Embrace","59985:62765","0.319012","0"
"144","Embrace","60125:62765","0.324701","0"
"145","Embrace","60175:62765","0.317544","0"
"146","Embrace","60285:62765","0.307529","0"
"147","Embrace","60395:62765","0.318526","0"
"148","Embrace","60765:62765","0.336194","0"
"149","Embrace","60865:62765","0.336884","0"
"150","Embrace","60905:62765","0.318874","0"
"151","Embrace","61025:62765","0.329842","0"
"152","Embrace","61065:62765","0.299474","0"
"153","Embrace","61175:62765","0.304262","0"
"154","Embrace","61235:62765","0.305867","0"
"155","Embrace","61405:62765","0.311287","0"
"156","Embrace","61455:62765","0.313580","0"
"157","Embrace","61495:62765","0.320920","0"
"158","Embrace","61785:62765","0.314541","0"
"159","Embrace","61885:62765","0.251091","0"
"160","Embrace","61945:62765","0.247486","0"
"161","Embrace","62095:62765","0.242828","0"
"162","Embrace","62185:62765","0.248769","0"
"163","Embrace","62235:62765","0.240565","0"
"164","Embrace","62325:62765","0.265850","0"
"165","Embrace","62385:62765","0.173111","0"
"166","Embrace","62425:62765","0.181529","0"
"167","Embrace","62605:62765","0.314571","0"
"168","Embrace","64025:64185","0.281625","0"
"169","Embrace","65225:65555","0.167950","0"
"170","Embrace","65355:65555","0.229364","0"
"171","Embrace","66375:66545","0.279500","0"
"172","Embrace","66475:66545","0.346000","0"
"173","Embrace","66825:68445","0.302112","0"
"174","Embrace","67255:68445","0.319487","0"
"175","Embrace","67325:68445","0.323216","0"
"176","Embrace","67675:68445","0.331623","0"
"177","Embrace","68415:68595","0.287800","0"
"178","Embrace","70295:70595","0.397500","0"
"179","Embrace","70375:70595","0.259000","0"
"180","Embrace","72025:72375","0.204100","0"
"181","Embrace","74785:74965","0.366500","0"
"182","Embrace","74845:74965","0.600750","1"
"183","Embrace","75425:75525","0.295000","0"
"184","Embrace","75475:75525","0.210750","0"
"185","Embrace","76015:77755","0.316728","0"
"186","Embrace","76335:77755","0.322000","0"
"187","Embrace","76775:77755","0.369750","0"
"188","Embrace","77355:77755","0.440500","0"
"189","Embrace","78795:78895","0.593286","1"
"190","Embrace","79535:79665","0.434857","0"
"191","Embrace","80435:80665","0.276909","0"
"192","Embrace","80945:81755","0.351067","0"
"193","Embrace","80995:81755","0.341756","0"
"194","Embrace","81255:81755","0.382897","0"
"195","Embrace","81515:81755","0.534308","1"
"196","Embrace","83805:83925","0.374750","0"
"197","Embrace","87085:87315","0.282538","0"
"198","Embrace","87725:87865","0.185200","0"
"199","Embrace","88475:88885","0.300125","0"
"200","Embrace","88545:88885","0.255875","0"
"201","Embrace","88595:88885","0.231938","0"
"202","Embrace","89915:91185","0.290045","0"
"203","Embrace","90065:91185","0.307082","0"
"204","Embrace","90265:91185","0.495341","0"
"205","Embrace","90315:91185","0.498349","0"
"206","Embrace","90415:91185","0.502143","1"
"207","Embrace","90465:91185","0.492805","0"
"208","Embrace","90505:91185","0.426486","0"
"209","Embrace","91045:91185","0.284429","0"
"210","Embrace","91095:91185","0.306833","0"
"211","Embrace","91925:93455","0.240330","0"
"212","Embrace","92175:93455","0.294169","0"
"213","Embrace","92215:93455","0.295107","0"
"214","Embrace","92315:93455","0.311174","0"
"215","Embrace","92385:93455","0.316742","0"
"216","Embrace","92425:93455","0.304359","0"
"217","Embrace","92475:93455","0.297125","0"
"218","Embrace","92535:93455","0.292639","0"
"219","Embrace","92725:93455","0.315667","0"
"220","Embrace","93765:94335","0.458828","0"
"221","Embrace","93915:94335","0.472708","0"
"222","Embrace","93975:94335","0.447545","0"
"223","Embrace","94045:94335","0.415625","0"
"224","Embrace","94125:94335","0.356455","0"
"225","Embrace","94215:94335","0.165000","0"
"226","Embrace","94645:95355","0.339556","0"
"227","Embrace","95235:95355","0.516833","1"
"228","Embrace","100565:100995","0.423133","0"
"229","Embrace","100625:100995","0.347056","0"
"230","Embrace","100765:100995","0.448800","0"
"231","Embrace","101515:102425","0.260436","0"
"232","Embrace","107035:107205","0.246400","0"
"233","Embrace","117165:117245","0.342400","0"
"234","Embrace","117735:118045","0.118900","0"
"235","Embrace","117905:118045","0.175500","0"
"236","Embrace","120025:120235","0.479100","0"
"237","Embrace","121395:121765","0.304000","0"
"238","Embrace","121465:121765","0.246077","0"
"239","Embrace","121595:121765","0.262667","0"
"240","Embrace","121665:121765","0.375143","0"
"241","Embrace","123085:123215","0.329000","0"
"242","Embrace","123925:125345","0.336805","0"
"243","Embrace","124285:125345","0.318468","0"
"244","Embrace","124805:125345","0.306500","0"
"245","Embrace","124965:125345","0.289455","0"
"246","Embrace","125575:127685","0.378135","0"
"247","Embrace","126155:127685","0.311250","0"
"248","Embrace","126355:127685","0.325103","0"
"249","Embrace","126445:127685","0.321864","0"
"250","Embrace","126485:127685","0.322182","0"
"251","Embrace","126525:127685","0.320369","0"
"252","Embrace","126575:127685","0.321111","0"
"253","Embrace","126675:127685","0.332349","0"
"254","Embrace","126715:127685","0.338256","0"
"255","Embrace","126815:127685","0.350725","0"
"256","Embrace","126885:127685","0.359919","0"
"257","Embrace","128105:128525","0.255059","0"
"258","Embrace","128365:128555","0.311375","0"
"259","Embrace","128415:128555","0.272833","0"
"260","Embrace","128735:130445","0.357786","0"
"261","Embrace","128845:130445","0.322011","0"
"262","Embrace","129165:130445","0.319625","0"
"263","Embrace","129265:130445","0.322250","0"
"264","Embrace","129455:130445","0.230000","0"
"265","Embrace","129545:130445","0.210560","0"
"266","Embrace","129685:130445","0.271818","0"
"267","Embrace","129835:130445","0.243600","0"
"268","Embrace","129925:130445","0.266647","0"
"269","Embrace","135075:136075","0.406697","0"
"270","Embrace","135525:136075","0.427634","0"
"271","Embrace","135735:136075","0.233688","0"
"272","Embrace","135885:136075","0.222714","0"
"273","Embrace","135935:136075","0.214571","0"
"274","Embrace","135975:136075","0.271000","0"
"275","Embrace","136715:138065","0.195139","0"
