"ID","EventType","Framespan"
"1","PeopleMeet","944:1290"
"2","CellToEar","2556:2576"
"3","Pointing","2864:2894"
"4","PeopleMeet","3139:3351"
"5","CellToEar","3289:3304"
"6","CellToEar","3498:3509"
"7","ObjectPut","5161:5178"
"8","ObjectPut","5867:5910"
"9","CellToEar","7072:7088"
"10","CellToEar","10776:10786"
"11","CellToEar","11108:11117"
"12","CellToEar","12144:12160"
"13","CellToEar","12330:12345"
"14","CellToEar","13038:13057"
"15","PeopleMeet","15251:15484"
"16","Pointing","15498:15509"
"17","Pointing","15963:15976"
"18","CellToEar","17040:17050"
"19","CellToEar","18325:18333"
"20","Pointing","18375:18403"
"21","ObjectPut","19011:19014"
"22","ObjectPut","19364:19367"
"23","ObjectPut","19433:19438"
"24","ObjectPut","19673:19678"
"25","ObjectPut","21408:21409"
"26","ObjectPut","22259:22264"
"27","ObjectPut","22658:22674"
"28","Pointing","22684:22690"
"29","Pointing","22755:22757"
"30","ObjectPut","23086:23088"
"31","ObjectPut","23163:23196"
"32","Pointing","23202:23202"
"33","Pointing","23202:23238"
"34","ObjectPut","23260:23283"
"35","ObjectPut","24356:24358"
"36","ObjectPut","24658:24660"
"37","ObjectPut","25002:25004"
"38","PeopleMeet","26003:26343"
"39","Pointing","26618:26661"
"40","Embrace","26978:27632"
"41","Embrace","27649:27766"
"42","Pointing","27680:27692"
"43","CellToEar","27760:27768"
"44","CellToEar","27892:27901"
"45","Embrace","27893:27936"
"46","CellToEar","28116:28127"
"47","ObjectPut","28213:28292"
"48","Pointing","28355:28393"
"49","ObjectPut","28739:28750"
"50","Pointing","29000:29007"
"51","ObjectPut","29267:29269"
"52","Pointing","29345:29359"
"53","Pointing","29977:29998"
"54","Pointing","30663:30669"
"55","PeopleSplitUp","30955:31312"
"56","Pointing","31000:31017"
"57","ObjectPut","31007:31026"
"58","ObjectPut","32675:32713"
"59","ObjectPut","32781:32879"
"60","Pointing","33998:34058"
"61","PersonRuns","34122:34303"
"62","ObjectPut","34156:34166"
"63","ObjectPut","34240:34246"
"64","ObjectPut","34305:34312"
"65","ObjectPut","34424:34521"
"66","Pointing","34959:34968"
"67","Pointing","35929:35962"
"68","PeopleMeet","36848:36914"
"69","ObjectPut","37152:37167"
"70","ObjectPut","37245:37251"
"71","CellToEar","37523:37548"
"72","ObjectPut","37901:37913"
"73","ObjectPut","39800:39809"
"74","PeopleMeet","40239:40642"
"75","ObjectPut","40485:40504"
"76","ObjectPut","40548:40555"
"77","ObjectPut","45999:46009"
"78","ObjectPut","46023:46030"
"79","PeopleMeet","46250:46451"
